dataset,method,encoding,avg_metric,std_metric,y,y_std
ADULT,ID3,av,0.037514088696426154,0.015473624388678404,"[0.0003820048069479413, 0.0005089726140147989, 0.0008890400542423342, 0.004663025841959154, 0.005168714454490917, 0.016325731946257423, 0.017063913309140172, 0.017302945886601667, 0.017653678001320894, 0.020064235311241206, 0.023890995406002646, 0.025131325531460892, 0.03723936562730491, 0.037356682361573024, 0.03867597117328875, 0.04011086279583524, 0.04011086279583524, 0.04011086279583524, 0.04010969409352722, 0.04096866150271962, 0.04200956272121466, 0.04284828566469419, 0.04284828566469419, 0.04297172506914884, 0.04357476465884433, 0.04416917852669437, 0.04451078084651182, 0.04486875880767928, 0.04486875880767928, 0.04486875880767928, 0.04485354133682645, 0.04507359588191472, 0.045327077630160535, 0.045327077630160535, 0.045327077630160535, 0.04616473414330527, 0.04616473414330527, 0.04628050763889301, 0.04651188676129771, 0.046622269382134866, 0.046622269382134866, 0.046622269382134866, 0.046622269382134866, 0.046622269382134866, 0.04810043414358492, 0.048223596852357546, 0.058435742040284955, 0.058435742040284955, 0.05855046707682861, 0.05855046707682861]","[0.0004219053947724233, 0.0006226469184904933, 0.0007510669698717194, 0.0072058284987349015, 0.006999963425282419, 0.023188576705006753, 0.023547938936329383, 0.023959672358575757, 0.024563947073675454, 0.027216403679108186, 0.027676760457433815, 0.027340504905444648, 0.026500946528720818, 0.026666589312437514, 0.027104217121145444, 0.028092192324650905, 0.028092192324650905, 0.028092192324650905, 0.028093606555972157, 0.027752561325895334, 0.02912500820897551, 0.02950577772973726, 0.02950577772973726, 0.0294254490229244, 0.02959832898663035, 0.029939469669356407, 0.03029893887954487, 0.030518484378253885, 0.030518484378253885, 0.030518484378253885, 0.030499068358972405, 0.03078382758309305, 0.030472922486341977, 0.030472922486341977, 0.030472922486341977, 0.030848244005899302, 0.030848244005899302, 0.030992966336821536, 0.03128404649618804, 0.03142376112595128, 0.03142376112595128, 0.03142376112595128, 0.03142376112595128, 0.03142376112595128, 0.03309570804680505, 0.033012018475577096, 0.03078467075231061, 0.03078467075231061, 0.03090974366144141, 0.03090974366144141]"
ADULT,AQ,av,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
ADULT,BRS,av,0.5761386732344892,0.04631597611724049,"[0.2912685129399905, 0.43925312428912056, 0.5250295570487196, 0.5861053501210636, 0.5860979551767238, 0.5860979551767238, 0.5860979551767238, 0.5860979551767238, 0.5860979551767238, 0.5860979551767238, 0.5860979551767238, 0.5860979551767238, 0.5860979551767238, 0.5860979551767238, 0.5860979551767238, 0.5860979551767238, 0.5861599598776576, 0.5862215064094611, 0.5862215064094611, 0.5862215064094611, 0.5862005145543926, 0.5862005145543926, 0.5862576927260797, 0.5862576927260797, 0.5862576927260797, 0.5862760766622079, 0.5862871412109084, 0.5862790904535566, 0.5862429041369381, 0.5862429041369381, 0.5862429041369381, 0.5862188984905208, 0.5862188984905208, 0.5862188984905208, 0.5862188984905208, 0.5862188984905208, 0.5862550848071393, 0.5862550848071393, 0.5862550848071393, 0.5862790904535566, 0.5862790904535566, 0.5862429041369381, 0.5862429041369381, 0.5862429041369381, 0.5862188984905208, 0.5862188984905208, 0.5862188984905208, 0.5862429041369381, 0.5862429041369381, 0.5862429041369381]","[0.29127065689258635, 0.25363441364249223, 0.1051098134076824, 0.004067735017659963, 0.004071367390916293, 0.004071367390916293, 0.004071367390916293, 0.004071367390916293, 0.004071367390916293, 0.004071367390916293, 0.004071367390916293, 0.004071367390916293, 0.004071367390916293, 0.004071367390916293, 0.004071367390916293, 0.004071367390916293, 0.004092693010319853, 0.004180046828562936, 0.004180046828562936, 0.004180046828562936, 0.004150151725733358, 0.004150151725733358, 0.004192923163272235, 0.004192923163272235, 0.004192923163272235, 0.004169737064332625, 0.004121257942783191, 0.004109846278530459, 0.004096897836034928, 0.004096897836034928, 0.004096897836034928, 0.0041269800337394935, 0.0041269800337394935, 0.0041269800337394935, 0.0041269800337394935, 0.0041269800337394935, 0.0041400442153401214, 0.0041400442153401214, 0.0041400442153401214, 0.004109846278530459, 0.004109846278530459, 0.004096897836034928, 0.004096897836034928, 0.004096897836034928, 0.0041269800337394935, 0.0041269800337394935, 0.0041269800337394935, 0.004096897836034928, 0.004096897836034928, 0.004096897836034928]"
CONNECT-4,Find-RS,av,0.2992448489484242,0.09237497491374048,"[0.04040416073318617, 0.07892933611033894, 0.11206782964354359, 0.12558814051989475, 0.15707259314928468, 0.17317237095836915, 0.190028947866763, 0.20020786579736213, 0.20967100424652027, 0.21474635732922992, 0.22998684246866044, 0.2313435596872666, 0.24157222402208722, 0.25041479841721515, 0.25253869025968456, 0.2588832543352201, 0.2690933587551795, 0.2745490705444984, 0.2820840472773675, 0.2904003448463596, 0.2964958030099661, 0.30342445900638804, 0.3115963429256083, 0.3162714206644218, 0.3222321673179557, 0.33132473066319534, 0.33462044052932943, 0.337218795114191, 0.3428143795152324, 0.3446999738558263, 0.3489851335383925, 0.35327830243599084, 0.3565027773521527, 0.36042061226889927, 0.363443470529078, 0.3673777676524236, 0.3737067200394256, 0.3747829835622413, 0.3808919748973508, 0.3830863483369311, 0.38499490057671065, 0.38783636473445027, 0.39311513024745776, 0.39636318193910414, 0.3978202303801976, 0.39865193347956074, 0.39984996179196874, 0.40424686918573827, 0.40584476510528505, 0.4075897097977034]","[0.026734822159645923, 0.0326217658945192, 0.02703914473612787, 0.02572384314007715, 0.015559803140028892, 0.015148110059316672, 0.024208408087240608, 0.024694694068091966, 0.0260941447724933, 0.02826748942047332, 0.018989580963289523, 0.01990095569812142, 0.023154349797465272, 0.02521532158983601, 0.02495348351383959, 0.027000990160832097, 0.02755092530146701, 0.027406020659526718, 0.029572847102695633, 0.030236466201318885, 0.03288777923525716, 0.03211638470291941, 0.03347190742950751, 0.03513156003984868, 0.0296812540252232, 0.018000211660611956, 0.019004938885062272, 0.018050503842719966, 0.021632695122486747, 0.022028594921876556, 0.02010526583460796, 0.021510396562600665, 0.02305980977728303, 0.025301801026521797, 0.027228651691268056, 0.02932917747591255, 0.027615876653641895, 0.027409547625488095, 0.029033055610236773, 0.029376977120703213, 0.029522199036884435, 0.029944055923679932, 0.031872831453263036, 0.03258014872123204, 0.033318506200648856, 0.033820067789870276, 0.03390665625459461, 0.028641206880506018, 0.02900158563619046, 0.02993235843397548]"
CONNECT-4,RIPPER,av,0.37611407074604697,0.13618792797871535,"[0.035342758498260414, 0.07956842107444001, 0.0988014953686549, 0.11631523017080543, 0.15885677168618664, 0.16763166418867656, 0.18248929093314173, 0.19680299604330953, 0.21105899671202435, 0.22535782709117055, 0.2721541399332222, 0.28290675295918216, 0.30549006620431557, 0.31592999925784165, 0.32512128437292037, 0.3352414976295337, 0.34135064207072724, 0.3531861684919442, 0.3632555306625111, 0.37079792614844215, 0.3802064591290964, 0.38334444261688067, 0.3938500803890339, 0.40257079900095444, 0.40980154817172454, 0.41262099346218234, 0.4176354384444363, 0.42153991779165634, 0.4258511125065804, 0.43765305510659225, 0.44597243578892815, 0.45370879746558895, 0.4590561907894905, 0.46519032177436764, 0.4685133793872207, 0.47452926514899135, 0.48096437145710613, 0.48833303562323493, 0.49390330246266884, 0.49846160868410144, 0.5053699529023441, 0.5102859864633654, 0.5154439462978578, 0.5198792986109396, 0.5236290484048148, 0.530572342311691, 0.532965740576312, 0.5378386696835015, 0.5387255213434169, 0.5396270160099604]","[0.0193539247887426, 0.031061964392807874, 0.03764839475103662, 0.039139227053100696, 0.020781121419900454, 0.022492823655113254, 0.024291381437146153, 0.030777716537769888, 0.03484203655996157, 0.033519110204573724, 0.05575766693822733, 0.05798281011341418, 0.06018630862130124, 0.05792608016672025, 0.05968264269966449, 0.06044833952955013, 0.06288745322835594, 0.06348362326784532, 0.06342377264855435, 0.06186324870479386, 0.06199058195885196, 0.05967985960134845, 0.06506948956272832, 0.06583789067425197, 0.06763572628889868, 0.0716015233322464, 0.07259639965768527, 0.06991064247241587, 0.07171202010891284, 0.08114012098960639, 0.08311697405586461, 0.07960835802341831, 0.08083636359329975, 0.07626015967587689, 0.07665158194200289, 0.08287197700323715, 0.08598495529460307, 0.09165686639866431, 0.09071466195738881, 0.0895240174296399, 0.08793321798434969, 0.0895266934215251, 0.0858365528570124, 0.08276948232978279, 0.08402629337409057, 0.08497783359793512, 0.08531446975829153, 0.08466185184553332, 0.08402944106491646, 0.08341386209803278]"
CONNECT-4,ID3,av,0.12421058757875474,0.046504341250306155,"[0.011147224677194707, 0.013012602018405412, 0.021008364053058354, 0.024913065713657086, 0.030782493014984688, 0.039360304406343624, 0.07243954880024496, 0.08352294720552712, 0.08658078368532925, 0.08712136097184657, 0.08890941309693749, 0.08983108456978102, 0.09735129769040529, 0.10254353607589062, 0.10947205700458522, 0.11474293675331133, 0.11874645605282162, 0.11934909702228819, 0.12681907483296856, 0.13212962126780162, 0.13267382243327494, 0.13354648038062367, 0.1373132892664336, 0.13809557430245423, 0.13898593087999436, 0.13941694933735446, 0.1423139334905393, 0.1425837545944517, 0.14289671732497533, 0.14403080109661934, 0.14446957989663892, 0.14593507969776817, 0.14639362659803934, 0.1474632202856703, 0.15016641733731334, 0.15156050395235066, 0.15297448118600795, 0.15364436821996594, 0.15633831974945644, 0.1572131015005173, 0.15881932674168353, 0.16512258787038483, 0.16897579731561221, 0.17003958882257328, 0.17407705867378054, 0.17604958582295968, 0.17841405429023763, 0.1789251951795634, 0.17976008144856073, 0.19254688232854913]","[0.008916894008015156, 0.0087168068042153, 0.013685763450098493, 0.012794001459508668, 0.011649748489176898, 0.007107717473143281, 0.03152457329483417, 0.02431689924821852, 0.0238246635476856, 0.02401859881236737, 0.023556645395173832, 0.02388467400145664, 0.025255059994034344, 0.028853072722506354, 0.028245434844554825, 0.026741582387095064, 0.030452594434492643, 0.03065969204608357, 0.031465190848945945, 0.03108172644070045, 0.031144123148825642, 0.0314394756682978, 0.034637480282276985, 0.034294027007215865, 0.033876570249461245, 0.03340048178850776, 0.03338513134290921, 0.033720772951770527, 0.03361493787318927, 0.03395949297136406, 0.03385445387653772, 0.03362332950298197, 0.03368801577413578, 0.033628506971963845, 0.03164053681345203, 0.030173942832183973, 0.03044304100023402, 0.03098225708481926, 0.029093910101830742, 0.029993487321593054, 0.03141610813255735, 0.03420597783499993, 0.035037652812857215, 0.035980594539318324, 0.03547814753428755, 0.03454031759594997, 0.03635323979098087, 0.03642401710147966, 0.03696385100535334, 0.040473007091828724]"
CONNECT-4,AQ,av,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
CONNECT-4,BRS,av,0.7097245630127964,0.1097413357217113,"[0.2100952856455983, 0.38386244239036466, 0.44507349277461783, 0.48087783191988204, 0.5472260732016946, 0.6134684724963584, 0.6299774509795156, 0.6746080059572167, 0.6860073162963677, 0.6941694683458525, 0.7018874665477092, 0.7315055193483434, 0.7316217556644133, 0.7395545523385261, 0.750987032990011, 0.7677844086682825, 0.7586168435604431, 0.7586630913111834, 0.7598586638752588, 0.7612804524637471, 0.7612875389269735, 0.7628068056065898, 0.7633322195798238, 0.7436894822332629, 0.749096664195874, 0.7494147250109034, 0.7494290287616843, 0.7498997754776378, 0.7504365051058564, 0.7515697422766335, 0.7526164376918313, 0.7515622145039883, 0.7527136548681616, 0.754595284886766, 0.7545855327346748, 0.7546915437343485, 0.755318932782712, 0.7557231067400881, 0.7563413786520026, 0.7564014243050359, 0.7564417389956941, 0.7571461599533974, 0.7576884976456543, 0.7576985430595532, 0.7583335761288993, 0.7586754859303017, 0.7587170270261575, 0.7588985781489721, 0.7590756535600044, 0.7609152653409571]","[0.060327953847241024, 0.1202751070743561, 0.1265094202664616, 0.12795089511183697, 0.0715303094601817, 0.01540883237331731, 0.0252638968836068, 0.04474878209454143, 0.05841294937371777, 0.06864303881767758, 0.06053889056951578, 0.05392094993834329, 0.05391764225296504, 0.04321798144026099, 0.04215729099252877, 0.02141041653471598, 0.02138985914433467, 0.021789357245324135, 0.023332711511115628, 0.02237082391569274, 0.022344352129954524, 0.021730582276262168, 0.021573007109641204, 0.020260166717848884, 0.015817512032803085, 0.015930293738101706, 0.015944527519417297, 0.016157054018351692, 0.015417946969165803, 0.013834109726792906, 0.01259076532156586, 0.011558304256947963, 0.010032524648529693, 0.00668858830417278, 0.006719859102892139, 0.006685506006484923, 0.006484436826993101, 0.005958362314673588, 0.005189532753607955, 0.0051788608823730145, 0.0051421263039243565, 0.00596520781381221, 0.005808792893214746, 0.00580735764891418, 0.005807636814329296, 0.005782819117870041, 0.005809300572544738, 0.006022005737311621, 0.006041901960879623, 0.006575039465422083]"
MARKET,Find-RS,av,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
MARKET,RIPPER,av,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
MARKET,ID3,av,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
MARKET,AQ,av,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
MARKET,BRS,av,0.29309231622372395,0.016461556066498035,"[0.194024022855131, 0.2880611685051799, 0.2880611685051799, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.2880611685051799, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.3053408950840424, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799, 0.2880611685051799]","[0.1371980041785314, 0.004281504515540441, 0.004281504515540441, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.004281504515540441, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.027421851286235557, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441, 0.004281504515540441]"
AUDIO,Find-RS,ohe,0.914507677301809,0.0017029844778051748,"[0.9047689988654936, 0.9119122781665601, 0.9106319547164252, 0.9119122781665601, 0.9119122781665601, 0.9164911362784878, 0.9164911362784878, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392, 0.9149131117314392]","[0.044124745560718825, 0.0434319558549261, 0.04378466344557088, 0.0434319558549261, 0.0434319558549261, 0.042788142690610244, 0.042788142690610244, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947, 0.04251278740176947]"
AUDIO,RIPPER,ohe,0.9048255950399675,0.027253061881630312,"[0.7207934076281534, 0.9061578144078142, 0.9047238521436635, 0.9023628658204131, 0.875018020535658, 0.8835362104203076, 0.8852133592672677, 0.9093739912620011, 0.911063699403322, 0.911063699403322, 0.9128053539751653, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9128053539751653, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455, 0.9106937400988455]","[0.3482092642748493, 0.05149772491750933, 0.05129155445167757, 0.0474548680736855, 0.10100944785043907, 0.07949072635709929, 0.07976243168382241, 0.048683494663452016, 0.04983989193093608, 0.04983989193093608, 0.04992487989400621, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.04992487989400621, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055, 0.049892330825501055]"
AUDIO,ID3,ohe,0.9260226348330566,0.07100650410069295,"[0.4646272733272, 0.8238800863141789, 0.8238339616608436, 0.8757430052406147, 0.9095147534003807, 0.9132333346293983, 0.9171804883178776, 0.9204896362735596, 0.9184072419588603, 0.9309966825934138, 0.9327453164731953, 0.9331011818677244, 0.9368763706042493, 0.9390762374471622, 0.9390762374471622, 0.9439896573605819, 0.9422979280372739, 0.9406057017020014, 0.9422979280372739, 0.9424535590502903, 0.9439896573605819, 0.9448473129895938, 0.9448473129895938, 0.9439896573605819, 0.9462946218995892, 0.9446023955643168, 0.9468132799180584, 0.9468132799180584, 0.9468132799180584, 0.9485055062533307, 0.9468132799180584, 0.9468132799180584, 0.9468132799180584, 0.9485055062533307, 0.9468132799180584, 0.9468137769300224, 0.9468137769300224, 0.9485055062533307, 0.9468132799180584, 0.9485055062533307, 0.9485055062533307, 0.9485055062533307, 0.9468132799180584, 0.9468132799180584, 0.9485055062533307, 0.9485055062533307, 0.9468132799180584, 0.9485055062533307, 0.9485055062533307, 0.9485055062533307]","[0.43919313257424986, 0.26060592229488205, 0.26054174922639245, 0.09990641214024965, 0.05441687767638843, 0.05684264339745201, 0.0542807917617845, 0.05292730235564194, 0.05401444719563436, 0.04115575219887716, 0.04158710516930863, 0.039222919039037074, 0.03854118683706183, 0.03903350045683651, 0.03903350045683651, 0.040653521182188526, 0.040122256269372, 0.03936310555483738, 0.040122256269372, 0.0400121668758273, 0.040653521182188526, 0.03767521377763138, 0.03767521377763138, 0.040653521182188526, 0.038318536746926785, 0.037702725503832614, 0.03663280313035794, 0.03663280313035794, 0.03663280313035794, 0.037165768924381275, 0.03663280313035794, 0.03663280313035794, 0.03663280313035794, 0.037165768924381275, 0.03663280313035794, 0.036792121865393934, 0.036792121865393934, 0.037165768924381275, 0.03663280313035794, 0.037165768924381275, 0.037165768924381275, 0.037165768924381275, 0.03663280313035794, 0.03663280313035794, 0.037165768924381275, 0.037165768924381275, 0.03663280313035794, 0.037165768924381275, 0.037165768924381275, 0.037165768924381275]"
