dataset,method,dataset_size,f1,accuracy,tn,fp,fn,tp,strategy,T,pool_size,best_k,time_elapsed,seed,avg_ruleset_len,avg_rule_len
HIV,AqClassifier,0.5,0.7634194831013916,0.6809651474530831,62,105,14,192,bp,1,1,-1,34.05175161361694,1,37,3.054054054054054

HIV,AqClassifier,0.5,0.7063492063492064,0.6032171581769437,47,133,15,178,bp,1,1,-1,24.22208309173584,2,32,3.3125

HIV,AqClassifier,0.5,0.7640918580375783,0.6970509383378016,77,93,20,183,bp,1,1,-1,35.31371569633484,3,35,2.7142857142857144

HIV,AqClassifier,0.5,0.7294589178356713,0.6380697050938338,56,120,15,182,bp,1,1,-1,37.56527352333069,4,35,3.257142857142857

HIV,AqClassifier,0.5,0.7680000000000001,0.6890080428954424,65,105,11,192,bp,1,1,-1,25.62205481529236,5,33,3.1818181818181817

HIV,AqClassifier,0.5,0.7355371900826446,0.6568364611260054,67,113,15,178,bp,1,1,-1,19.029370307922363,6,29,3.103448275862069

HIV,AqClassifier,0.5,0.7593360995850621,0.6890080428954424,74,105,11,183,bp,1,1,-1,26.753763675689697,7,39,3.2564102564102564

HIV,AqClassifier,0.5,0.7439024390243901,0.6621983914209115,64,104,22,183,bp,1,1,-1,26.245715618133545,8,34,3.235294117647059

HIV,AqClassifier,0.5,0.7647058823529412,0.6997319034852547,79,94,18,182,bp,1,1,-1,22.982702016830444,9,33,2.9393939393939394

LYMPHOGRAPHY,AqClassifier,0.5,0.7872340425531915,0.7297297297297297,17,13,7,37,bp,1,1,-1,0.7327089309692383,0,10,2.7

LYMPHOGRAPHY,AqClassifier,0.5,0.6956521739130435,0.6216216216216216,14,16,12,32,bp,1,1,-1,1.045419454574585,1,12,2.6666666666666665

LYMPHOGRAPHY,AqClassifier,0.5,0.7777777777777778,0.7297297297297297,19,16,4,35,bp,1,1,-1,0.7591400146484375,2,12,2.5

LYMPHOGRAPHY,AqClassifier,0.5,0.7333333333333334,0.6756756756756757,17,15,9,33,bp,1,1,-1,0.8415050506591797,3,11,2.4545454545454546

LYMPHOGRAPHY,AqClassifier,0.5,0.7142857142857143,0.6756756756756757,20,13,11,30,bp,1,1,-1,0.9460470676422119,4,13,2.769230769230769

LYMPHOGRAPHY,AqClassifier,0.5,0.7804878048780488,0.7567567567567568,24,9,9,32,bp,1,1,-1,0.6642942428588867,5,10,2.9

LYMPHOGRAPHY,AqClassifier,0.5,0.6436781609195402,0.581081081081081,15,19,12,28,bp,1,1,-1,0.9770023822784424,6,15,3.0

